University Library Freiburg;
Heidelberg University;"1386; 633 years ago (1386)"
University of Greifswald;1456, Holy Roman Empire  (teaching since 1436)[2]
University of Cologne;1388
University of Erfurt;1379 (closed 1816–1993)
University of Ingolstadt;
University of Mainz;1477 (University of Mainz) Re-opened 1946 (Johannes Gutenberg University Mainz)
University of Würzburg;1402 (closed 1415–1582)
Leipzig University;2 December 1409
University of Rostock;13 February 1419
University of Freiburg;1457
University of Munich;1472 (as University of Ingolstadt until 1802)
University of Tübingen;1477 (1477)
University of Halle-Wittenberg;1502
University of Marburg;July 1, 1527
University of Jena;1558
University of Bamberg;1647 (initial)1972 (re-founded)
University of Bayreuth;1975
Berlin International University of Applied Sciences;2012
Berlin University of the Arts;1696
Free University of Berlin;1948
Humboldt University of Berlin;"October 15, 1810; 209 years ago (1810-10-15)[1]"
Technical University of Berlin;"1770 (Königliche Bergakademie zu Berlin)
1799 (Königliche Bauakademie zu Berlin)
1879 (Königlich Technische Hochschule zu Berlin)
1946 as Technische Universität Berlin"
University of Bielefeld;September 5, 1969
Ruhr University Bochum;1962
University of Bonn;18 October 1818
Brandenburg University of Technology;"1991; 2013 (reestablished)"
Braunschweig University of Technology;1745
University of Bremen;1971
Jacobs University Bremen;2001 (2001)
Chemnitz University of Technology;1836
Clausthal University of Technology;1775
Technical University of Dortmund;16 December 1968
Dresden University of Technology;1828
University of Duisburg-Essen;1654, re-established on 1 January 2003
University of Düsseldorf;1965
Catholic University of Eichstätt-Ingolstadt;1980 (as university)
University of Erlangen-Nuremberg;1742 (first) November 4, 1743 (1743-11-04) (moved) [1][2]
University of Flensburg;1994
Goethe University Frankfurt;18 October 1914 (1914-10-18)[1]
Viadrina University;1506, closed 1811,refounded 1991
Freiberg University of Mining and Technology;1765
Zeppelin University;June 2003
University of Giessen;1607
University of Göttingen;1734
University of Hagen;1974
University of Hamburg;"1919; 100 years ago (1919)"
HafenCity University Hamburg;"2006; 13 years ago (2006)"
Hamburg University of Technology;1978
Helmut Schmidt University;1973
University of Hannover;May 2, 1831[1]
University of Heidelberg;"1386; 633 years ago (1386)"
University of Hildesheim;1946
University of Hohenheim;1818
Technical University of Ilmenau;1894
Kaiserslautern University of Technology;1970[1]
University of Kassel;1971
University of Kiel;1665
University of Koblenz-Landau;1990
University of Konstanz;1966
University of Leipzig;2 December 1409
University of Lübeck;1964
University of Lüneburg;1946
University of Magdeburg;1993
University of Mannheim;1967
Technical University of Munich;1868 (1868)
Ludwig Maximilian University of Munich;1472 (as University of Ingolstadt until 1802)
Bundeswehr University Munich;1973
Ukrainian Free University;1921
University of Münster;16 April 1780
University of Karlsruhe;Fridericiana Polytechnic: 1825  TU Karlsruhe: 1865  KIT: October 1, 2009
University of Kaiserslautern;1970[1]
University of Oldenburg;1973
University of Osnabrück;1974
University of Paderborn;1972
University of Passau;1 January 1973
University of Potsdam;1991
University of Regensburg;1962
Saarland University;1948
University of Siegen;1972
German University of Administrative Sciences Speyer;1947
University of Stuttgart;1829
University of Trier;1970, historical: 1473-1798
University of Ulm;1967
University of Vechta;
Bauhaus University, Weimar;1860
Witten/Herdecke University;1982
University of Wuppertal;1972
Martin Luther University of Halle-Wittenberg;1502
University of Frankfurt am Main;18 October 1914 (1914-10-18)[1]
University of Koblenz;1990
Neubrandenburg University of Applied Science and Technology (page does not exist);
University of Augsburg;1970
Bundeswehr University of Munich;1973
Darmstadt University of Technology;1877[1]
University of Hanover;May 2, 1831[1]
Ilmenau University of Technology;1894
Franco-German University;
Charles University in Prague;"1348; 671 years ago (1348)"
